,0
835,SDF-ME
836,AVAG
837,MGNZ
838,AER-RM
839,SLB-RM
840,ROG-RM
841,DB-RM
842,SAP1-RM
843,BMW-RM
844,LHA-RM
845,ACN-RM
846,VOW3-RM
847,NOVN-RM
848,DAI-RM
849,PAH3-RM
850,TUI1-RM
851,SPOT-RM
